list_id,list_publish_time,list_business_type,list_information_type,list_province,list_city,list_source_platform,list_title,list_url,notice_title,notice_type,project_code,publish_time,notice_url,source,crawl_time,industry,admin_region,budget,budget_source,bid_deadline,open_bid_time,purchase_method,content_text,buyer_name,buyer_address,buyer_contact,agent_name,agent_address,agent_contact,contact_name,contact_tel,win_supplier,win_total_amount,win_detail_json,judge_experts,agent_service_fee,change_item,terminate_reason,proposed_supplier,single_source_reason,publicity_period,attach_file_names,attach_json
0051ec29ea0d003147ec8e32fcc5b390b663,2026-09-10,政府采购,采购合同,四川省,,,（人民医院）CT球管维修,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/0051ec29ea0d003147ec8e32fcc5b390b663.html,（人民医院）CT球管维修,采购合同,N5106032026000106,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/0051ec29ea0d003147ec8e32fcc5b390b663.html,四川省,2026-09-10 14:26:03,医疗卫生,四川省,,default,,,,"（人民医院）CT球管维修_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
（人民医院）CT球管维修
采购项目编号：N5106032026000106
信息来源：
四川省
采购/资审公告
中标公告
采购合同
更正事项
暂无数据
暂无数据
（人民医院）CT球管维修
2026-09-10
（人民医院）CT球管维修
2026-09-09
暂无数据
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
0051495724422ec645a7ad970cdd5e5953f3,2026-09-10,政府采购,采购合同,四川省,,,“奔跑吧·少年”2026年阿坝州“萌芽杯、希望杯”三大球比赛暨阿坝州首届青少年三大球超级杯赛,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/0051495724422ec645a7ad970cdd5e5953f3.html,“奔跑吧·少年”2026年阿坝州“萌芽杯、希望杯”三大球比赛暨阿坝州首届青少年三大球超级杯赛,采购合同,N5132112026000210,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/0051495724422ec645a7ad970cdd5e5953f3.html,四川省,2026-09-10 14:26:04,医疗卫生,四川省,,default,,,,"“奔跑吧·少年”2026年阿坝州“萌芽杯、希望杯”三大球比赛暨阿坝州首届青少年三大球超级杯赛_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
“奔跑吧·少年”2026年阿坝州“萌芽杯、希望杯”三大球比赛暨阿坝州首届青少年三大球超级杯赛
采购项目编号：N5132112026000210
信息来源：
四川省
采购/资审公告
中标公告
采购合同
更正事项
阿坝藏族羌族自治州教育和体育局“奔跑吧·少年”2026年阿坝州“萌芽杯、希望杯”三大球比赛暨阿坝州首届青少年三大球超级杯赛竞争性磋商公告
2026-06-15
阿坝藏族羌族自治州教育和体育局“奔跑吧·少年”2026年阿坝州“萌芽杯、希望杯”三大球比赛暨阿坝州首届青少年三大球超级杯赛中标（成交）结果公告
2026-06-26
“奔跑吧·少年”2026年阿坝州“萌芽杯、希望杯”三大球比赛暨阿坝州首届青少年三大球超级杯赛
2026-09-10
暂无数据
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
00517dcbcc4f94af4662bcd149fdd030627b,2026-09-10,政府采购,采购合同,四川省,,,合江县2026年度林业执法调查技术服务,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/00517dcbcc4f94af4662bcd149fdd030627b.html,合江县2026年度林业执法调查技术服务,采购合同,N5105222026000148,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/00517dcbcc4f94af4662bcd149fdd030627b.html,四川省,2026-09-10 14:26:05,医疗卫生,四川省,,default,,,,"合江县2026年度林业执法调查技术服务_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
合江县2026年度林业执法调查技术服务
采购项目编号：N5105222026000148
信息来源：
四川省
采购/资审公告
中标公告
采购合同
更正事项
合江县自然资源和规划局合江县2026年度林业执法调查技术服务竞争性磋商公告
2026-07-23
合江县自然资源和规划局合江县2026年度林业执法调查技术服务中标（成交）结果公告
2026-08-13
合江县2026年度林业执法调查技术服务
2026-09-10
暂无数据
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
005156f56568afe84037b41b26ab67ef7de2,2026-09-10,政府采购,采购合同,四川省,,,合江县2026年自然资源执法督察技术服务项目,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/005156f56568afe84037b41b26ab67ef7de2.html,合江县2026年自然资源执法督察技术服务项目,采购合同,N5105222026000149,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/005156f56568afe84037b41b26ab67ef7de2.html,四川省,2026-09-10 14:26:06,医疗卫生,四川省,,default,,,,"合江县2026年自然资源执法督察技术服务项目_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
合江县2026年自然资源执法督察技术服务项目
采购项目编号：N5105222026000149
信息来源：
四川省
采购/资审公告
中标公告
采购合同
更正事项
合江县自然资源和规划局合江县2026年自然资源执法督察技术服务项目竞争性磋商公告
2026-07-22
合江县自然资源和规划局合江县2026年自然资源执法督察技术服务项目中标（成交）结果公告
2026-08-11
合江县2026年自然资源执法督察技术服务项目
2026-09-10
暂无数据
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
0041fb1507f9e99f4fdcbbd2abd3f99de8e3,2026-09-10,政府采购,中标公告,河南省,,,方城县人民医院西门子DSA设备维保服务采购,https://www.ggzy.gov.cn/information/deal/html/a/410000/0202/20260910/0041fb1507f9e99f4fdcbbd2abd3f99de8e3.html,方城县人民医院西门子DSA设备维保服务采购,中标公告,FCX202608002,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/410000/0202/20260910/0041fb1507f9e99f4fdcbbd2abd3f99de8e3.html,河南省,2026-09-10 14:26:07,医疗卫生,河南省,,default,,,,"方城县人民医院西门子DSA设备维保服务采购_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
方城县人民医院西门子DSA设备维保服务采购
采购项目编号：FCX202608002
信息来源：
河南省
采购/资审公告
中标公告
采购合同
更正事项
方城县人民医院西门子DSA设备维保服务采购单一来采购公告
2026-08-20
方城县人民医院西门子DSA设备维保服务采购
2026-09-10
暂无数据
暂无数据
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
0050aaff5e8279f549ae987c646d27a8faf2,2026-09-10,政府采购,中标公告,重庆市,,重庆市公共资源交易服务平台,重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告,https://www.ggzy.gov.cn/information/deal/html/a/500000/0202/20260910/0050aaff5e8279f549ae987c646d27a8faf2.html,重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告,中标公告,CQS26C02029_130117562645086249,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/500000/0202/20260910/0050aaff5e8279f549ae987c646d27a8faf2.html,重庆市公共资源交易服务平台,2026-09-10 14:26:08,医疗卫生,重庆,,default,,,,"重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
采购项目编号：CQS26C02029_130117562645086249
信息来源：
重庆市公共资源交易服务平台
采购/资审公告
中标公告
采购合同
更正事项
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)竞争性磋商公告
2026-08-25
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
暂无数据
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
00509702c9a2459e41b4b27241df0c7604bb,2026-09-10,政府采购,中标公告,重庆市,,重庆市公共资源交易服务平台,重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告,https://www.ggzy.gov.cn/information/deal/html/a/500000/0202/20260910/00509702c9a2459e41b4b27241df0c7604bb.html,重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告,中标公告,CQS26C02029_130117562645086249,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/500000/0202/20260910/00509702c9a2459e41b4b27241df0c7604bb.html,重庆市公共资源交易服务平台,2026-09-10 14:26:09,医疗卫生,重庆,,default,,,,"重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
采购项目编号：CQS26C02029_130117562645086249
信息来源：
重庆市公共资源交易服务平台
采购/资审公告
中标公告
采购合同
更正事项
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)竞争性磋商公告
2026-08-25
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
暂无数据
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
00504b11d9bf941e461197e5a51c3d9b9bf5,2026-09-10,政府采购,中标公告,重庆市,,重庆市公共资源交易服务平台,重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告,https://www.ggzy.gov.cn/information/deal/html/a/500000/0202/20260910/00504b11d9bf941e461197e5a51c3d9b9bf5.html,重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告,中标公告,CQS26C02029_130117562645086249,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/500000/0202/20260910/00504b11d9bf941e461197e5a51c3d9b9bf5.html,重庆市公共资源交易服务平台,2026-09-10 14:26:10,医疗卫生,重庆,,default,,,,"重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
采购项目编号：CQS26C02029_130117562645086249
信息来源：
重庆市公共资源交易服务平台
采购/资审公告
中标公告
采购合同
更正事项
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)竞争性磋商公告
2026-08-25
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)中标（成交）结果公告
2026-09-10
暂无数据
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
重庆市江津区市场监督管理局2026年区级食品安全监督抽检(CQS26C02029)采购更正公告
2026-09-01
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
005117dd1cac8f0b4972a5fa9ff2db42c58b,2026-09-10,政府采购,采购合同,四川省,,,宜宾市叙州区司法局车辆加油、添加燃料服务直接选定采购合同,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/005117dd1cac8f0b4972a5fa9ff2db42c58b.html,宜宾市叙州区司法局车辆加油、添加燃料服务直接选定采购合同,采购合同,ZJXD-202609511504586486,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/510000/0203/20260910/005117dd1cac8f0b4972a5fa9ff2db42c58b.html,四川省,2026-09-10 14:26:11,医疗卫生,四川省,,default,,,,"宜宾市叙州区司法局车辆加油、添加燃料服务直接选定采购合同_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
宜宾市叙州区司法局车辆加油、添加燃料服务直接选定采购合同
采购项目编号：ZJXD-202609511504586486
信息来源：
四川省
采购/资审公告
中标公告
采购合同
更正事项
暂无数据
暂无数据
宜宾市叙州区司法局车辆加油、添加燃料服务直接选定采购合同
2026-09-10
暂无数据
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
0041fc91b2adbcf54fbd84b9c0923c8da293,2026-09-10,政府采购,采购/资审公告,河南省,,,新乡职业技术学院消防设施维护保养及消防控制室值班备勤服务项目-公开招标公告,https://www.ggzy.gov.cn/information/deal/html/a/410000/0201/20260910/0041fc91b2adbcf54fbd84b9c0923c8da293.html,新乡职业技术学院消防设施维护保养及消防控制室值班备勤服务项目-公开招标公告,采购/资审公告,2026ZBDL128号,2026-09-10,https://www.ggzy.gov.cn/information/deal/html/a/410000/0201/20260910/0041fc91b2adbcf54fbd84b9c0923c8da293.html,河南省,2026-09-10 14:26:13,医疗卫生,河南省,,default,,,,"新乡职业技术学院消防设施维护保养及消防控制室值班备勤服务项目-公开招标公告_交易公开_国家公共资源交易平台
政府网站工作年度报表
服务号
首页
机构职能
交易公开
工程建设
政府采购
土地使用权
矿业权
国有产权
碳排放权
排污权
药品采购
二类疫苗
林权
其他
交易诚信
违法违规
奖励信息
数据服务
交易统计
平台导航
政策法规
政策法规文件
政策法规解读
服务中心
培训交流
微信订阅
意见建议
调查征集
关于我们
首页 > 交易公开 > 政府采购
新乡职业技术学院消防设施维护保养及消防控制室值班备勤服务项目-公开招标公告
采购项目编号：2026ZBDL128号
信息来源：
河南省
采购/资审公告
中标公告
采购合同
更正事项
新乡职业技术学院消防设施维护保养及消防控制室值班备勤服务项目-公开招标公告
2026-09-10
暂无数据
暂无数据
暂无数据
网站地图
|
网站声明
|
添加收藏
|
联系我们
主办：国家信息中心 指导单位： 国家发展和改革委员会
网站标识码：bm04000008
京ICP备05052393号-9
京公网安备11010202007733号
地址：北京西城区三里河路58号 邮政编码：100045",,,,,,,,,,,,,,,,,,,,
