notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
湖南大学JY-2026062货物及服务采购项目成交结果公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294946.htm,2026-09-09 14:50,湖南,湖南大学,成交结果公告,成交公告
中国石油大学（北京）校园地下综合管廊工程项目全过程跟踪审计项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294919.htm,2026-09-09 14:48,北京,中国石油大学（北京）,成交公告,成交公告
北京市朝阳区消防救援支队2026—2027年购买人事代理服务项目中选公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294818.htm,2026-09-09 14:38,北京,朝阳区消防救援支队,项目中选公告,项目中选公告
中华人民共和国腾冲出入境边防检查站智慧档案室设施设备采购项目成交结果公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294714.htm,2026-09-09 14:29,云南,中华人民共和国腾冲出入境边防检查站,成交结果公告,成交公告
中央财经大学沙河校区学院三号楼教室及楼道空调和管线升级改造采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294663.htm,2026-09-09 14:22,北京,中央财经大学,成交公告,成交公告
国家档案局2026年度零星建设工程项目成交结果公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294704.htm,2026-09-09 14:22,北京,国家档案局,成交结果公告,成交公告
北京中医药大学第三附属医院门诊楼、磁共振2室、北侧平房区域避雷设施改造项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294628.htm,2026-09-09 14:17,北京,北京中医药大学第三附属医院,成交公告,成交公告
2026新风系统维保服务成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294619.htm,2026-09-09 14:15,北京,体育彩票管理中心,成交公告,成交公告
北京中医药大学多语种智慧翻译平台采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294525.htm,2026-09-09 13:56,北京,北京中医药大学,成交公告,成交公告
中国科学院信息工程研究所UPS电池维保服务采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294366.htm,2026-09-09 13:01,北京,中国科学院信息工程研究所,成交公告,成交公告
中国科学院信息工程研究所职工和学生体检项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294364.htm,2026-09-09 13:01,北京,中国科学院信息工程研究所,成交公告,成交公告
北川羌族自治县气象局气象系统防汛抗旱减灾能力提升采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294253.htm,2026-09-09 12:32,四川,北川羌族自治县气象局,成交公告,成交公告
全国海关信息中心2026年海关布控智能辅助审核模型技术服务采购项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294187.htm,2026-09-09 12:17,北京,全国海关信息中心,成交公告,成交公告
西安交通大学发电厂最小安全子系统和新能源发电模块成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27294200.htm,2026-09-09 11:48,陕西,西安交通大学,成交公告,成交公告
丰镇市消防救援大队及政府专职消防队2026-2027年度伙食项目【第1次重新采购】成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293889.htm,2026-09-09 11:46,内蒙古,丰镇市消防救援大队,成交公告,成交公告
长治市消防救援支队原长潞大队(战勤保障大队)选取2026年食堂副食品供应服务供应商项目竞争性磋商成交结果公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293773.htm,2026-09-09 11:35,山西,长治市消防救援支队,成交结果公告,成交公告
中国共产党历史展览馆《不忘初心、牢记使命——中国共产党历史展览精品图录》（暂定名）（中、英文版）出版项目单一来源采购成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293694.htm,2026-09-09 11:26,北京,中国共产党历史展览馆,成交公告,成交公告
国家税务总局江西省税务局2026年房屋维修项目第二次竞争性磋商成交结果公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293653.htm,2026-09-09 11:23,江西,国家税务总局江西省税务局,成交结果公告,成交公告
上海出入境边防检查总站工会委员会2026年总站机关人员电影观摩服务项目成交公告,https://www.ccgp.gov.cn/cggg/zygg/cjgg/./202609/t20260909_27293606.htm,2026-09-09 11:18,上海,中华人民共和国上海出入境边防检查总站,成交公告,成交公告
