notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
西北农林科技大学图书馆2020年数据库采购项目（一）单一来源公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191114_13330416.htm,2019-11-14 10:52,陕西,西北农林科技大学,单一来源公示,单一来源公示
西北农林科技大学图书馆2020年数据库采购项目（三）单一来源公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191114_13330434.htm,2019-11-14 10:52,陕西,西北农林科技大学,单一来源公示,单一来源公示
中南民族大学可拆装式教学拉曼光谱仪采购单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191113_13327502.htm,2019-11-13 19:12,湖北,中南民族大学,单一来源公告,单一来源公告
山东大学高压高频电场下局部放电与空间电荷联合测试系统单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191113_13325445.htm,2019-11-13 16:50,山东,山东大学,单一来源公告,单一来源公告
作家出版社有限公司数字化转型升级项目—支撑软件购置单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191113_13322561.htm,2019-11-13 12:56,北京,作家出版社有限公司,单一来源公告,单一来源公告
中央电视台中国联通BGP专线扩充(2019F221)单一来源审核前意见公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191113_13321585.htm,2019-11-13 11:00,北京,中央电视台,,未知公告
北京师范大学学科水平动态监控平台单一来源公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191112_13317952.htm,2019-11-12 17:52,北京,北京师范大学,单一来源公示,单一来源公示
北京师范大学高灵敏度实时黑碳和棕碳监测仪单一来源采购项目单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191112_13316989.htm,2019-11-12 17:28,北京,北京师范大学,单一来源公告,单一来源公告
中国纤维质量监测中心棉花质量提升单一来源采购项目单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191112_13316207.htm,2019-11-12 16:54,北京,中国纤维质量监测中心,单一来源公告,单一来源公告
合肥工业大学集成电路设计综合实验室建设-EDA软件单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191112_13311872.htm,2019-11-12 10:44,安徽,合肥工业大学,单一来源公告,单一来源公告
国家体育总局冬季运动管理中心进口滑冰器材采购单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191111_13308486.htm,2019-11-11 17:59,北京,国家体育总局冬季运动管理中心,单一来源公告,单一来源公告
北京师范大学及四附校行政事业单位资产管理系统（三期）教育版开发服务单一来源公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191111_13308017.htm,2019-11-11 17:25,北京,北京师范大学,单一来源公示,单一来源公示
中央电视台全台新媒体图片作品单一来源审核前意见公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191111_13301992.htm,2019-11-11 10:18,北京,中央电视台,,未知公告
山东大学Archives Unbound珍稀原始典藏档案数据库单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191110_13298503.htm,2019-11-10 11:51,山东,山东大学,单一来源公告,单一来源公告
中国奥林匹克委员会奥运会备战办公室越野滑雪北欧两项组训练保障服务采购项目单一来源采购征求意见公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191108_13291666.htm,2019-11-08 17:00,北京,中国奥林匹克委员会奥运会备战办公室,,未知公告
中国奥林匹克委员会奥运会备战办公室越野滑雪二队训练保障服务采购项目单一来源采购征求意见公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191108_13291366.htm,2019-11-08 16:50,北京,中国奥林匹克委员会奥运会备战办公室,,未知公告
中国残疾人体育运动管理中心聋人单板单一来源采购项目单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191108_13287625.htm,2019-11-08 11:14,北京,中国残疾人体育运动管理中心,单一来源公告,单一来源公告
提升本体感觉和神经肌肉控制能力智能动态训练台单一来源采购公示公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191107_13282376.htm,2019-11-07 16:40,北京,中国奥林匹克委员会奥运会备战办公室,采购公示公告,采购公示公告
激光扫描速度灵敏测试与训练系统采购项目单一来源采购公示公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191107_13281728.htm,2019-11-07 16:36,北京,中国奥林匹克委员会奥运会备战办公室,采购公示公告,采购公示公告
浙江大学晚清民国期刊全文数据库单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191107_13281858.htm,2019-11-07 16:19,浙江,浙江大学,单一来源公告,单一来源公告
北京协和医学院教务系统维护升级采购项目单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191107_13279940.htm,2019-11-07 14:46,北京,北京协和医学院,单一来源公告,单一来源公告
山东大学（青岛）公共（创新）实验教学中心人工智能技术应用实验平台与综合应用场景采购项目参照单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191106_13275022.htm,2019-11-06 18:12,山东,山东大学（青岛）,单一来源公告,单一来源公告
山东大学（青岛）公共（创新）实验教学中心智能制造与机器人虚拟仿真采购项目参照单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191106_13274907.htm,2019-11-06 17:56,山东,山东大学（青岛）,单一来源公告,单一来源公告
山东大学（青岛）公共（创新）实验教学中心智能协同一体化机器人采购项目参照单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191106_13274817.htm,2019-11-06 17:48,山东,山东大学（青岛）,单一来源公告,单一来源公告
北京师范大学宽能高纯锗谱仪单一来源采购项目单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191106_13274155.htm,2019-11-06 17:19,北京,北京师范大学,单一来源公告,单一来源公告
广西科文招标有限公司国家税务总局南宁市良庆区税务局智能办税服务系统驻场运维服务（GXSW-KWZZ5D20191605）单一来源采购公示,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191106_13273870.htm,2019-11-06 17:04,广西,国家税务总局南宁市良庆区税务局,,未知公告
中国奥林匹克委员会奥运会备战办公室速度滑冰和短道速滑国家队短道青年队训练服务项目单一来源公告,https://www.ccgp.gov.cn/cggg/zygg/dylygg/./201911/t20191106_13272836.htm,2019-11-06 16:45,北京,中国奥林匹克委员会奥运会备战办公室,单一来源公告,单一来源公告
