notice_title,detail_url,pub_time,area,purchaser,raw_notice_type,notice_type
应急管理部国家减灾中心国家自然灾害灾情管理系统全国灾害信息员数据库常态化支撑保障比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294485.htm,2026-09-09 13:47,北京,应急管理部国家减灾中心,保障比选公告,保障比选公告
应急管理部国家减灾中心国家自然灾害灾情管理系统全国灾害信息员在线学习服务分系统常态化支撑保障比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294482.htm,2026-09-09 13:47,北京,应急管理部国家减灾中心,保障比选公告,保障比选公告
北京协和医院东单院区门诊楼扶梯预防性修理项目流标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294488.htm,2026-09-09 13:46,北京,中国医学科学院北京协和医院,流标公告,流标公告
中央美术学院充电桩项目废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294198.htm,2026-09-09 12:18,北京,中央美术学院,项目废标公告,项目废标公告
广州市增城区消防救援大队2026年第二批消防装备采购项目征求意见公告其他,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294307.htm,2026-09-09 12:14,广东,广州市增城区消防救援大队,征求意见公告,征求意见公告
中国人民银行河源市分行劳务外包服务项目废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294101.htm,2026-09-09 12:04,广东,中国人民银行河源市分行,项目废标公告,项目废标公告
北京市通州区消防救援支队2026年“119”消防宣传月活动采购项目比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294072.htm,2026-09-09 12:00,北京,通州区消防救援支队,项目比选公告,项目比选公告
广东省深圳市消防救援支队轨道交通大队2026年生活用品和办公用品配送服务采购项目的遴选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27294070.htm,2026-09-09 12:00,广东,深圳市消防救援支队轨道交通大队,目的遴选公告,目的遴选公告
北京大学第一医院医疗法律事务常年法律顾问服务采购项目废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293735.htm,2026-09-09 11:30,北京,北京大学第一医院,项目废标公告,项目废标公告
山西省消防救援总队高层建筑火灾救援能力建设项目市场调研公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293668.htm,2026-09-09 11:25,山西,山西省消防救援总队,市场调研公告,市场调研公告
赤水市消防救援大队2026年度灭火救援装备采购项目需求公示,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293587.htm,2026-09-09 11:16,贵州,赤水市消防救援大队,,未知公告
兰州大学信息科学与工程学院新型半导体晶圆、器件制作、电路板设计及性能测试服务采购项目（第二标段二次）废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293582.htm,2026-09-09 11:16,甘肃,兰州大学,废标公告,废标公告
生态环境部华南环境科学研究所华南区域危险废物环境风险防控技术中心建设项目-专业仪器设备采购项目（一批）（四）（项目编号：M4400000707538972）失败公告（采购包1）,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293478.htm,2026-09-09 11:06,广东,生态环境部华南环境科学研究所,失败公告,失败公告
北大荒集团北安医院医疗附属用房配套工程项目4包（室外污水处理设备）二次废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293222.htm,2026-09-09 10:41,黑龙江,北大荒集团北安医院,二次废标公告,二次废标公告
北京市通州区消防救援支队2026年度通州区消防救援网站运维服务比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293062.htm,2026-09-09 10:25,北京,通州区消防救援支队,服务比选公告,服务比选公告
北京市通州区消防救援支队为台湖、马驹桥地区消防救援站购置“一警六员”实操实训所需器材采购项目比选公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293066.htm,2026-09-09 10:25,北京,通州区消防救援支队,项目比选公告,项目比选公告
四川省雅安市气象局中央电视台播报雅安城市天气预报服务(三次）废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27292891.htm,2026-09-09 10:07,四川,四川省雅安市气象局,废标公告,废标公告
对外经济贸易大学校园基础设施改造项目监理服务招标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27292894.htm,2026-09-09 10:06,北京,对外经济贸易大学,招标公告,招标公告
中国中医科学院中药研究所危废处置流标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27292825.htm,2026-09-09 09:58,北京,中国中医科学院中药研究所,流标公告,流标公告
北京市海淀区消防救援支队购置救援运输车项目技术需求征求意见公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27293010.htm,2026-09-09 09:50,北京,北京市海淀区消防救援支队,征求意见公告,征求意见公告
吉林大学第一医院注射泵、输注系统、中央监护工作站、监护仪一批设备采购项目废标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27292752.htm,2026-09-09 09:47,吉林,吉林大学第一医院,项目废标公告,项目废标公告
网络安全和数据安全应急实战演练服务流标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27292398.htm,2026-09-09 08:20,北京,中央统战部信息中心,流标公告,流标公告
阜宁县消防救援大队2026年食材供应外包定点项目流标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260909_27292397.htm,2026-09-09 08:19,江苏,阜宁县消防救援大队,流标公告,流标公告
暨南大学食堂智慧监管系统项目询比公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27291542.htm,2026-09-08 20:37,广东,暨南大学,项目询比公告,项目询比公告
哈尔滨工程大学第二十二学生公寓建设项目变电所工程项目（二次）竞争性磋商公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27291400.htm,2026-09-08 20:02,黑龙江,哈尔滨工程大学,竞争性磋商公告,竞争性磋商公告
陕西师范大学未来教师技能实训中心设备采购流标公告,https://www.ccgp.gov.cn/cggg/zygg/qtgg/./202609/t20260908_27291262.htm,2026-09-08 19:37,陕西,陕西师范大学,流标公告,流标公告
